key,type,encoding,value
chip-factory,namespace,,
discriminator,data,u32,51
iteration-count,data,u32,10000
salt,data,string,X5CnTS/kweWiQECmh0/wOEJoQP/jn5E3qHSiRXhKw0I=
vendor-id,data,u32,5229
vendor-name,data,string,Polyaire
product-id,data,u32,1
product-name,data,string,ATBeam
hardware-ver,data,u32,10
hw-ver-str,data,string,1.0
serial-num,data,string,fc1e0dbd61380dc869d5cc9f7dc85646
dac-cert,file,binary,/home/soo/adt_production/dac/A09000946/out/146d_1/3e77cf99-c398-4c10-a55e-13200206effa/internal/DAC_cert.der
dac-key,file,binary,/home/soo/adt_production/dac/A09000946/out/146d_1/3e77cf99-c398-4c10-a55e-13200206effa/internal/DAC_private_key.bin
dac-pub-key,file,binary,/home/soo/adt_production/dac/A09000946/out/146d_1/3e77cf99-c398-4c10-a55e-13200206effa/internal/DAC_public_key.bin
pai-cert,file,binary,/home/soo/adt_production/dac/A09000946/out/146d_1/staging/pai_cert.der
verifier,data,string,7RLrtI58q17SDArAxufWVnq7oSvqxMH7q4ow4sp2FVYEkecH7nDPMkKoTccYZQe3KYwS0b8bWJUW9+gR7Ujq39xc/rCgfkfRizy4LucFgfYuUFaqSfyXKutR3zi98aWYPw==
cert-dclrn,file,binary,cd/Polyaire_CD-0x146D-0x0001-0x0201-A09000946.der
